"dos","rid","did","spid","lon","lat","pop"
"12/11/2013",3,6,54,NA,NA,972
"12/11/2913",3,4,52,NA,NA,7290
"10/11/2013",3,4,20,45.27875,2.43989,1500
"12/11/2013",3,4,2,45.30573,2.40484,870
"12/11/2013",3,5,34,45.14977,2.20242,2700
"12/11/2013",3,5,39,45.20709,2.333073,3000
"11/11/2013",3,5,33,45.21939,2.24434,2400
"11/11/2013",3,5,26,45.29041,2.29264,1080
"10/11/2013",3,6,41,NA,NA,3936
"13/11/2013",3,5,37,45.23932,2.10872,3300
"13/11/2013",3,5,40,NA,NA,3600
"10/11/2013",3,5,22,45.527949,2.26098,3600
"10/11/2013",3,5,28,45.29514,2.30511,1800
"13/11/2013",3,4,14,NA,NA,510
"12/11/2013",3,4,10,NA,NA,798
"11/11/2013",3,5,25,45.28563,2.28936,1500
"12/11/2013",3,5,21,45.23162,2.21673,12650
"12/11/2013",3,4,6,45.538026,2.3965,830
"11/11/2013",3,6,48,NA,NA,570
"11/11/2013",3,6,46,NA,NA,2574
"12/11/2013",3,4,8,NA,NA,660
"12/11/2013",3,5,32,45.21228,2.26942,3300
"13/11/2013",3,5,31,45.1803,2.15588,1800
"11/11/2013",3,6,55,NA,NA,690
"12/11/2013",3,6,44,NA,NA,2166
"10/11/2013",3,6,47,NA,NA,894
"12/11/2013",3,6,50,NA,NA,1860
"11/11/2013",3,5,24,45.27693,2.2511,1050
"13/11/2013",3,4,13,NA,NA,1278
"12/11/2013",3,4,9,45.30002,2.44348,1630
"10/11/2013",3,4,19,45.2776,2.43822,900
"10/11/2013",3,4,18,45.27951,2.4372,2400
"10/11/2013",3,5,27,45.29648,2.30795,3000
"12/11/2013",3,4,15,NA,NA,1814
"10/11/2013",3,6,45,NA,NA,2556
"12/12/2013",3,6,43,NA,NA,900
"13/11/2013",3,4,4,45.30514,2.4646,3000
"11/11/2013",3,4,11,45.530593,2.41441,6430
"12/11/2013",3,5,38,45.19637,2.35795,4020
"10/11/2013",3,6,57,NA,NA,940
"12/11/2013",3,4,17,45.530528,2.43526,516
"10/11/2013",3,5,23,45.525132,2.23344,2100
"11/11/2013",3,6,56,NA,NA,1002
"11/11/2013",3,6,53,NA,NA,1230
"12/11/2013",3,4,7,NA,NA,490
"10/11/2013",3,6,58,NA,NA,1116
"10/11/2013",3,6,42,NA,NA,2520
"13/11/2013",3,5,36,NA,NA,1680
"12/11/2013",3,5,35,45.14918,2.19588,2220
"11/11/2013",3,6,51,NA,NA,3420
"12/11/2103",3,6,49,NA,NA,1344
"13/11/2013",3,5,29,45.24641,2.21777,4225
"10/11/2013",3,5,30,45.29125,2.30535,3300
"13/11/2013",3,4,3,45.3,4.44323,1790
"11/11/2013",3,4,1,45.30311,2.46853,900
"12/11/2013",3,4,5,NA,NA,1200
"10/11/2013",3,4,12,NA,NA,1640
"10/11/2013",1,1,80,NA,NA,1200
"10/11/2013",1,1,81,NA,NA,800
"10/11/2013",1,1,82,NA,NA,950
"10/11/2013",1,1,83,NA,NA,1200
"11/11/2013",1,1,84,NA,NA,700
"11/11/2013",1,1,85,NA,NA,800
"11/11/2013",1,1,86,NA,NA,400
"11/11/2013",1,1,87,NA,NA,700
"11/11/2013",1,1,88,NA,NA,600
"12/11/2013",1,1,89,NA,NA,500
"12/11/2013",1,1,90,NA,NA,650
"12/11/2013",1,1,91,NA,NA,1000
"12/11/2013",1,1,92,NA,NA,1200
"12/11/2013",1,1,93,NA,NA,800
"12/11/2013",1,1,94,NA,NA,750
"13/11/2013",1,1,95,NA,NA,1500
"13/11/2013",1,1,96,NA,NA,800
"13/11/2013",1,1,97,NA,NA,900
"13/11/2013",1,1,98,NA,NA,450
"13/11/2013",1,1,79,NA,NA,900
"13/11/2013",1,2,59,NA,NA,900
"13/11/2013",1,2,60,NA,NA,1200
"13/11/2013",1,2,61,NA,NA,800
"13/11/2013",1,2,62,NA,NA,800
"13/11/2013",1,2,63,NA,NA,900
"14/11/2013",1,2,64,NA,NA,800
"14/11/2013",1,2,65,NA,NA,600
"14/11/2013",1,2,66,NA,NA,500
"14/11/2013",1,2,67,NA,NA,560
"14/11/2013",1,2,68,NA,NA,600
"15/11/2013",1,2,69,NA,NA,500
"15/11/2013",1,2,70,NA,NA,400
"15/11/2013",1,2,71,NA,NA,600
"15/11/2013",1,2,72,NA,NA,800
"15/11/2013",1,2,73,NA,NA,600
"16/11/2013",1,2,74,NA,NA,450
"16/11/2013",1,2,75,NA,NA,550
"16/11/2013",1,2,76,NA,NA,500
"16/11/2013",1,2,77,NA,NA,700
"16/11/2013",1,2,78,NA,NA,750
"2013-11-27",2,2,99,NA,NA,300
"2013-11-27",2,2,100,NA,NA,280
"2013-11-27",2,2,101,NA,NA,300
"2013-11-27",2,2,102,NA,NA,400
"2013-11-27",2,2,103,NA,NA,450
"2013-11-27",2,2,104,NA,NA,500
"2013-11-27",2,2,105,NA,NA,400
"2013-11-27",2,2,106,NA,NA,400
"2013-11-27",2,2,107,NA,NA,280
"2013-11-28",2,2,108,NA,NA,600
"2013-11-28",2,2,109,NA,NA,350
"2013-11-28",2,2,110,NA,NA,400
"2013-11-28",2,2,111,NA,NA,250
"2013-11-14",2,2,112,NA,NA,250
"2013-11-28",2,2,113,NA,NA,260
"2013-11-28",2,2,114,NA,NA,300
"2013-11-28",2,2,115,NA,NA,350
"2013-11-28",2,2,116,NA,NA,250
"2013-11-28",2,2,117,NA,NA,270
"2013-11-28",2,2,118,NA,NA,400
