"region","district","psu","lon","lat","pop"
"Middle Shabelle","Balad",54,NA,NA,972
"Middle Shabelle","Balad",52,NA,NA,7290
"Middle Shabelle","Jowhar",20,45.27875,2.43989,1500
"Middle Shabelle","Jowhar",2,45.30573,2.40484,870
"Middle Shabelle","Balad",34,45.14977,2.20242,2700
"Middle Shabelle","Balad",39,45.20709,2.333073,3000
"Middle Shabelle","Balad",33,45.21939,2.24434,2400
"Middle Shabelle","Balad",26,45.29041,2.29264,1080
"Middle Shabelle","Balad",41,NA,NA,3936
"Middle Shabelle","Balad",37,45.23932,2.10872,3300
"Middle Shabelle","Balad",40,NA,NA,3600
"Middle Shabelle","Balad",22,45.527949,2.26098,3600
"Middle Shabelle","Balad",28,45.29514,2.30511,1800
"Middle Shabelle","Jowhar",14,NA,NA,510
"Middle Shabelle","Jowhar",10,NA,NA,798
"Middle Shabelle","Balad",25,45.28563,2.28936,1500
"Middle Shabelle","Balad",21,45.23162,2.21673,12650
"Middle Shabelle","Jowhar",6,45.538026,2.3965,830
"Middle Shabelle","Balad",48,NA,NA,570
"Middle Shabelle","Balad",46,NA,NA,2574
"Middle Shabelle","Jowhar",8,NA,NA,660
"Middle Shabelle","Balad",32,45.21228,2.26942,3300
"Middle Shabelle","Balad",31,45.1803,2.15588,1800
"Middle Shabelle","Balad",55,NA,NA,690
"Middle Shabelle","Balad",44,NA,NA,2166
"Middle Shabelle","Balad",47,NA,NA,894
"Middle Shabelle","Balad",50,NA,NA,1860
"Middle Shabelle","Balad",24,45.27693,2.2511,1050
"Middle Shabelle","Jowhar",13,NA,NA,1278
"Middle Shabelle","Jowhar",9,45.30002,2.44348,1630
"Middle Shabelle","Jowhar",19,45.2776,2.43822,900
"Middle Shabelle","Jowhar",18,45.27951,2.4372,2400
"Middle Shabelle","Balad",27,45.29648,2.30795,3000
"Middle Shabelle","Jowhar",15,NA,NA,1814
"Middle Shabelle","Balad",45,NA,NA,2556
"Middle Shabelle","Balad",43,NA,NA,900
"Middle Shabelle","Jowhar",4,45.30514,2.4646,3000
"Middle Shabelle","Jowhar",11,45.530593,2.41441,6430
"Middle Shabelle","Balad",38,45.19637,2.35795,4020
"Middle Shabelle","Balad",57,NA,NA,940
"Middle Shabelle","Jowhar",17,45.530528,2.43526,516
"Middle Shabelle","Balad",23,45.525132,2.23344,2100
"Middle Shabelle","Balad",56,NA,NA,1002
"Middle Shabelle","Balad",53,NA,NA,1230
"Middle Shabelle","Jowhar",7,NA,NA,490
"Middle Shabelle","Balad",58,NA,NA,1116
"Middle Shabelle","Balad",42,NA,NA,2520
"Middle Shabelle","Balad",36,NA,NA,1680
"Middle Shabelle","Balad",35,45.14918,2.19588,2220
"Middle Shabelle","Balad",51,NA,NA,3420
"Middle Shabelle","Balad",49,NA,NA,1344
"Middle Shabelle","Balad",29,45.24641,2.21777,4225
"Middle Shabelle","Balad",30,45.29125,2.30535,3300
"Middle Shabelle","Jowhar",3,45.3,4.44323,1790
"Middle Shabelle","Jowhar",1,45.30311,2.46853,900
"Middle Shabelle","Jowhar",5,NA,NA,1200
"Bay","Baidoa",80,NA,NA,1200
"Bay","Baidoa",81,NA,NA,800
"Bay","Baidoa",82,NA,NA,950
"Bay","Baidoa",83,NA,NA,1200
"Bay","Baidoa",84,NA,NA,700
"Bay","Baidoa",85,NA,NA,800
"Bay","Baidoa",86,NA,NA,400
"Bay","Baidoa",87,NA,NA,700
"Bay","Baidoa",88,NA,NA,600
"Bay","Baidoa",89,NA,NA,500
"Bay","Baidoa",90,NA,NA,650
"Bay","Baidoa",91,NA,NA,1000
"Bay","Baidoa",92,NA,NA,1200
"Bay","Baidoa",93,NA,NA,800
"Bay","Baidoa",94,NA,NA,750
"Bay","Baidoa",95,NA,NA,1500
"Bay","Baidoa",96,NA,NA,800
"Bay","Baidoa",97,NA,NA,900
"Bay","Baidoa",98,NA,NA,450
"Bay","Baidoa",79,NA,NA,900
"Bay","Burhakaba",59,NA,NA,900
"Bay","Burhakaba",60,NA,NA,1200
"Bay","Burhakaba",61,NA,NA,800
"Bay","Burhakaba",62,NA,NA,800
"Bay","Burhakaba",63,NA,NA,900
"Bay","Burhakaba",64,NA,NA,800
"Bay","Burhakaba",65,NA,NA,600
